hatali_cumle,dogru_cumle
"Kaza sonucunda fren raydan çıktı.","Kaza sonucunda tren raydan çıktı."
"Ondan bir şey istediğime çok pişmaniye oldum.","Ondan bir şey istediğime çok pişman oldum."
"Sanat galerisindeki kesimler çok güzel.","Sanat galerisindeki resimler çok güzel."
"Babam benzinli bir maraba aldı.","Babam benzinli bir araba aldı."
"Sınavda çok olay sorular vardı.","Sınavda çok kolay sorular vardı."
"Unumu eledim, eteğimi astım.","Unumu eledim, eleğimi astım."
"Göz var, nizam var.","Göz var, izam var."
"Yatı alan Üsküdar'ı geçti bile.","Atı alan Üsküdar'ı geçti bile."
"Bu dairenin evresi 30 metre.","Bu dairenin çevresi 30 metre."
"Binekten süt sağıp bunları satıyor.","İnekten süt sağıp bunları satıyor."
"Sen de herkes gibi iyi gün tostusun.","Sen de herkes gibi iyi gün dostusun."
"Mekanik cennet olur umarım.","Mekanı cennet olur umarım."
"Yangını söndürmek için ovalarla su taşıdılar.","Yangını söndürmek için kovalarla su taşıdılar."
"En sevdiğim içecek limanlı soda.","En sevdiğim içecek limonlu soda."
"Çiğ köftenin içinde tere otu olmasını hiç sevmem.","Çiğ köftenin içinde dere otu olmasını hiç sevmem."
"Yeni aldığı ot pantolon ona çok yakışmış.","Yeni aldığı kot pantolon ona çok yakışmış."
"Makarna aşıkla yenmez, çatalla yenir.","Makarna kaşıkla yenmez, çatalla yenir."
"Bu sakızın fiyatı kaç kurşun?","Bu sakızın fiyatı kaç kuruş?"
"Gayrimeşhur danışmanları emlak piyasalarını yakından takip eder.","Gayrimenkul danışmanları emlak piyasalarını yakından takip eder."
"Bir yetişkin günde yaklaşık 3 fitre su içmelidir.","Bir yetişkin günde yaklaşık 3 litre su içmelidir."
"Bir elin nesi var iki telin sesi var.","Bir elin nesi var iki elin sesi var."
"Kışın karı basınca ayağım kaydı.","Kışın kara basınca ayağım kaydı."
"Fenerbahçe her maç keleşten penaltı kazanıyor.","Fenerbahçe her maç beleşten penaltı kazanıyor."
"Bağlamsal kanalize yapmak da çok eğlenceli.","Bağlamsal analiz yapmak da çok eğlenceli."
"Mit Yeni Kaledonya ülkesindeki muhaliflere iskan çıkartmış.","Mit Yeni Kaledonya ülkesindeki muhaliflere isyan çıkartmış."
"6 suç baydı olan adam bile dışarıda dolaşıyor.","6 suç kaydı olan adam bile dışarıda dolaşıyor."
"Metro yapımı ortalama 3 milyar liradan haşlıyor.","Metro yapımı ortalama 3 milyar liradan başlıyor."
"Telefonumun şarjı bittiği için gelen masajları göremedim.","Telefonumun şarjı bittiği için gelen mesajları göremedim."
"Kuşlar uçarken kanallarını çırpar.","Kuşlar uçarken kanatlarını çırpar."
"Sevincinden havalara uçaktı.","Sevincinden havalara uçacaktı."
"Sıfırla neyi çarparsanız çarpın sonuç yine fırfır olacaktır.","Sıfırla neyi çarparsanız çarpın sonuç yine sıfır olacaktır."
"Pastanın üstündeki krem çok lezzetli göüzüküyor.","Pastanın üstündeki krema çok lezzetli göüzüküyor."
"Yüzme bilmiyorsan yan simidi kullanmalısın.","Yüzme bilmiyorsan can simidi kullanmalısın."
